DGUID,CSD,PR,DATES,SOURCE
2021A00051001101,"Division No.  1, Subd. V",NL,,
2021A00051001105,Portugal Cove South,NL,,
2021A00051001113,Trepassey,NL,,
2021A00051001120,St. Shott's,NL,,
2021A00051001124,"Division No.  1, Subd. U",NL,,
2021A00051001126,Cape Broyle,NL,,
2021A00051001131,Renews-Cappahayden,NL,,
2021A00051001136,Fermeuse,NL,,
2021A00051001140,Port Kirwan,NL,,
2021A00051001144,Aquaforte,NL,,
2021A00051001149,Ferryland,NL,,
2021A00051001155,"Division No.  1, Subd. W",NL,,
2021A00051001169,St. Vincent's-St. Stephen's-Peter's River,NL,,
2021A00051001174,Gaskiers-Point La Haye,NL,,
2021A00051001178,St. Mary's,NL,,
2021A00051001181,Riverhead,NL,,
2021A00051001186,Admirals Beach,NL,,
2021A00051001192,St. Joseph's,NL,,
2021A00051001197,Mount Carmel-Mitchells Brook-St. Catherine's,NL,,
2021A00051001203,"Division No.  1, Subd. X",NL,,
2021A00051001207,Colinet,NL,,
2021A00051001214,"Division No.  1, Subd. C",NL,,
2021A00051001219,Branch,NL,,
2021A00051001225,Point Lance,NL,,
2021A00051001228,St. Bride's,NL,,
2021A00051001234,"Division No.  1, Subd. B",NL,,
2021A00051001240,Placentia,NL,,
2021A00051001254,Fox Harbour,NL,,
2021A00051001259,"Division No.  1, Subd. A",NL,,
2021A00051001263,Long Harbour-Mount Arlington Heights,NL,,
2021A00051001267,Southern Harbour,NL,,
2021A00051001270,Arnold's Cove,NL,,
2021A00051001274,Come By Chance,NL,,
2021A00051001277,Sunnyside,NL,,
2021A00051001281,Chance Cove,NL,,
2021A00051001285,Norman's Cove-Long Cove,NL,,
2021A00051001289,Chapel Arm,NL,,
2021A00051001293,"Division No.  1, Subd. Y",NL,,
2021A00051001298,Whitbourne,NL,,
2021A00051001304,"Division No.  1, Subd. E",NL,,
2021A00051001308,Whiteway,NL,,
2021A00051001312,Heart's Delight-Islington,NL,,
2021A00051001316,Heart's Desire,NL,,
2021A00051001321,"Division No.  1, Subd. F",NL,,
2021A00051001325,Heart's Content,NL,,
2021A00051001328,New Perlican,NL,,
2021A00051001332,Winterton,NL,,
2021A00051001335,Hant's Harbour,NL,,
2021A00051001339,"Division No.  1, Subd. G",NL,,
2021A00051001343,Old Perlican,NL,,
2021A00051001347,Bay de Verde,NL,,
2021A00051001352,Small Point-Adam's Cove-Blackhead-Broad Cove,NL,,
2021A00051001357,"Division No.  1, Subd. H",NL,,
2021A00051001361,Salmon Cove,NL,,
2021A00051001365,Victoria,NL,,
2021A00051001370,Carbonear,NL,,
2021A00051001374,"Division No.  1, Subd. I",NL,,
2021A00051001375,Bryant's Cove,NL,,
2021A00051001379,Harbour Grace,NL,,
2021A00051001385,Upper Island Cove,NL,,
2021A00051001391,"Division No.  1, Subd. J",NL,,
2021A00051001394,Bishop's Cove,NL,,
2021A00051001396,Spaniard's Bay,NL,,
2021A00051001405,"Division No.  1, Subd. K",NL,,
2021A00051001409,Bay Roberts,NL,,
2021A00051001415,"Division No.  1, Subd. L",NL,,
2021A00051001421,"Division No.  1, Subd. M",NL,,
2021A00051001426,North River,NL,,
2021A00051001429,Clarke's Beach,NL,,
2021A00051001434,South River,NL,,
2021A00051001437,Cupids,NL,,
2021A00051001441,"Division No.  1, Subd. N",NL,,
2021A00051001446,Brigus,NL,,
2021A00051001452,"Division No.  1, Subd. O",NL,,
2021A00051001456,Colliers,NL,,
2021A00051001461,Conception Harbour,NL,,
2021A00051001464,Avondale,NL,,
2021A00051001469,Harbour Main-Chapel's Cove-Lakeview,NL,,
2021A00051001472,Holyrood,NL,,
2021A00051001485,Conception Bay South,NL,,
2021A00051001490,"Division No.  1, Subd. R",NL,,
2021A00051001494,Wabana,NL,,
2021A00051001504,Portugal Cove-St. Philip's,NL,,
2021A00051001505,Pouch Cove,NL,,
2021A00051001507,Flatrock,NL,,
2021A00051001509,Torbay,NL,,
2021A00051001511,Logy Bay-Middle Cove-Outer Cove,NL,,
2021A00051001512,Bauline,NL,,
2021A00051001517,Paradise,NL,,
2021A00051001519,St. John's,NL,,
2021A00051001542,Mount Pearl,NL,,
2021A00051001551,Petty Harbour-Maddox Cove,NL,,
2021A00051001557,Bay Bulls,NL,,
2021A00051001559,Witless Bay,NL,,
2021A00051001565,"Division No.  1, Subd. D",NL,,
2021A00051002001,"Division No.  2, Subd. E",NL,,
2021A00051002002,Lewin's Cove,NL,,
2021A00051002005,Burin,NL,,
2021A00051002006,"Division No.  2, Subd. F",NL,,
2021A00051002008,St. Lawrence,NL,,
2021A00051002009,"Division No.  2, Subd. G",NL,,
2021A00051002011,Lawn,NL,,
2021A00051002012,Lamaline,NL,,
2021A00051002013,Lord's Cove,NL,,
2021A00051002014,Point May,NL,,
2021A00051002015,Point au Gaul,NL,,
2021A00051002016,"Division No.  2, Subd. H",NL,,
2021A00051002017,Frenchman's Cove,NL,,
2021A00051002018,Fortune,NL,,
2021A00051002019,Grand Bank,NL,,
2021A00051002021,Garnish,NL,,
2021A00051002022,"Division No.  2, Subd. D",NL,,
2021A00051002023,Winterland,NL,,
2021A00051002024,Marystown,NL,,
2021A00051002025,Fox Cove-Mortier,NL,,
2021A00051002026,"Division No.  2, Subd. I",NL,,
2021A00051002027,Bay L'Argent,NL,,
2021A00051002029,"Division No.  2, Subd. J",NL,,
2021A00051002030,Grand Le Pierre,NL,,
2021A00051002031,"Division No.  2, Subd. C",NL,,
2021A00051002033,Rushoon,NL,,
2021A00051002034,Parkers Cove,NL,,
2021A00051002036,Terrenceville,NL,,
2021A00051002037,Red Harbour,NL,,
2021A00051002039,English Harbour East,NL,,
2021A00051002040,Baine Harbour,NL,,
2021A00051002041,St. Bernard's-Jacques Fontaine,NL,,
2021A00051002044,"Division No.  2, Subd. L",NL,,
2021A00051002048,"Division No.  2, Subd. K",NL,,
2021A00051002055,Little Bay East,NL,,
2021A00051003001,"Division No.  3, Subd. A",NL,,
2021A00051003002,Rencontre East,NL,,
2021A00051003003,St. Jacques-Coomb's Cove,NL,,
2021A00051003004,Belleoram,NL,,
2021A00051003005,Pool's Cove,NL,,
2021A00051003006,"Division No.  3, Subd. B",NL,,
2021A00051003008,Harbour Breton,NL,,
2021A00051003009,"Division No.  3, Subd. C",NL,,
2021A00051003010,Seal Cove (Fortune Bay),NL,,
2021A00051003011,Hermitage-Sandyville,NL,,
2021A00051003012,Gaultois,NL,,
2021A00051003014,"Division No.  3, Subd. D",NL,,
2021A00051003018,Milltown-Head of Bay d'Espoir,NL,,
2021A00051003019,St. Alban's,NL,,
2021A00051003020,Morrisville,NL,,
2021A00051003021,"Division No.  3, Subd. E",NL,,
2021A00051003024,"Division No.  3, Subd. F",NL,,
2021A00051003026,Ramea,NL,,
2021A00051003028,Burgeo,NL,,
2021A00051003031,"Division No.  3, Subd. H",NL,,
2021A00051003032,Isle aux Morts,NL,,
2021A00051003033,Burnt Islands,NL,,
2021A00051003034,Channel-Port aux Basques,NL,,
2021A00051003038,"Division No.  3, Subd. I",NL,,
2021A00051003042,"Division No.  3, Subd. J",NL,,
2021A00051003045,Rose Blanche-Harbour le Cou,NL,,
2021A00051003801,Samiajij Miawpukek,NL,,
2021A00051004001,"Division No.  4, Subd. A",NL,,
2021A00051004006,"Division No.  4, Subd. B",NL,,
2021A00051004011,"Division No.  4, Subd. C",NL,,
2021A00051004013,St. George's,NL,,
2021A00051004016,"Division No.  4, Subd. D",NL,,
2021A00051004017,Gallants,NL,,
2021A00051004018,Stephenville Crossing,NL,,
2021A00051004019,Stephenville,NL,,
2021A00051004020,Kippens,NL,,
2021A00051004021,Port au Port East,NL,,
2021A00051004022,"Division No.  4, Subd. E",NL,,
2021A00051004033,Cape St. George,NL,,
2021A00051004037,Lourdes,NL,,
2021A00051004042,Port au Port West-Aguathuna-Felix Cove,NL,,
2021A00051005001,"Division No.  5, Subd. A",NL,,
2021A00051005003,"Division No.  5, Subd. G",NL,,
2021A00051005004,Deer Lake,NL,,
2021A00051005005,Jackson's Arm,NL,,
2021A00051005006,Howley,NL,,
2021A00051005007,"Division No.  5, Subd. E",NL,,
2021A00051005008,Hampden,NL,,
2021A00051005009,Reidville,NL,,
2021A00051005010,"Division No.  5, Subd. F",NL,,
2021A00051005011,Steady Brook,NL,,
2021A00051005012,Pasadena,NL,,
2021A00051005014,Cormack,NL,,
2021A00051005015,Gillams,NL,,
2021A00051005016,"Division No.  5, Subd. C",NL,,
2021A00051005017,Massey Drive,NL,,
2021A00051005018,Corner Brook,NL,,
2021A00051005019,"Division No.  5, Subd. D",NL,,
2021A00051005020,Humber Arm South,NL,,
2021A00051005022,McIvers,NL,,
2021A00051005023,Cox's Cove,NL,,
2021A00051005024,Lark Harbour,NL,,
2021A00051005025,Meadows,NL,,
2021A00051005028,Hughes Brook,NL,,
2021A00051005030,Irishtown-Summerside,NL,,
2021A00051005033,Mount Moriah,NL,,
2021A00051005035,York Harbour,NL,,
2021A00051006001,"Division No.  6, Subd. D",NL,,
2021A00051006003,Norris Arm,NL,,
2021A00051006008,"Division No.  6, Subd. E",NL,,
2021A00051006009,Gander,NL,,
2021A00051006011,Appleton,NL,,
2021A00051006012,Glenwood,NL,,
2021A00051006014,"Division No.  6, Subd. C",NL,,
2021A00051006015,Northern Arm,NL,,
2021A00051006017,Grand Falls-Windsor,NL,,
2021A00051006019,Bishop's Falls,NL,,
2021A00051006021,Peterview,NL,,
2021A00051006022,Botwood,NL,,
2021A00051006026,Badger,NL,,
2021A00051006028,Millertown,NL,,
2021A00051006029,"Division No.  6, Subd. A",NL,,
2021A00051006031,Buchans,NL,,
2021A00051007001,"Division No.  7, Subd. M",NL,,
2021A00051007006,"Division No.  7, Subd. L",NL,,
2021A00051007009,"Division No.  7, Subd. K",NL,,
2021A00051007013,Clarenville,NL,,
2021A00051007014,"Division No.  7, Subd. J",NL,,
2021A00051007015,Trinity (Trinity Bay),NL,,
2021A00051007016,Port Rexton,NL,,
2021A00051007018,"Division No.  7, Subd. I",NL,,
2021A00051007020,Elliston,NL,,
2021A00051007022,Trinity Bay North,NL,,
2021A00051007023,Bonavista,NL,,
2021A00051007024,"Division No.  7, Subd. G",NL,,
2021A00051007025,Keels,NL,,
2021A00051007026,Duntara,NL,,
2021A00051007027,King's Cove,NL,,
2021A00051007028,"Division No.  7, Subd. F",NL,,
2021A00051007031,"Division No.  7, Subd. E",NL,,
2021A00051007032,Musgravetown,NL,,
2021A00051007036,Port Blandford,NL,,
2021A00051007037,Traytown,NL,,
2021A00051007038,"Division No.  7, Subd. D",NL,,
2021A00051007039,Sandy Cove,NL,,
2021A00051007040,Terra Nova,NL,,
2021A00051007041,Happy Adventure,NL,,
2021A00051007042,Eastport,NL,,
2021A00051007043,Sandringham,NL,,
2021A00051007044,Glovertown,NL,,
2021A00051007045,"Division No.  7, Subd. N",NL,,
2021A00051007046,Salvage,NL,,
2021A00051007047,Gambo,NL,,
2021A00051007048,St. Brendan's,NL,,
2021A00051007049,Hare Bay,NL,,
2021A00051007050,Centreville-Wareham-Trinity,NL,,
2021A00051007051,"Division No.  7, Subd. B",NL,,
2021A00051007054,Greenspond,NL,,
2021A00051007056,"Division No.  7, Subd. A",NL,,
2021A00051007057,Dover,NL,,
2021A00051007060,New-Wes-Valley,NL,,
2021A00051007067,Indian Bay,NL,,
2021A00051008001,"Division No.  8, Subd. M",NL,,
2021A00051008004,Lumsden,NL,,
2021A00051008006,Musgrave Harbour,NL,,
2021A00051008008,"Division No.  8, Subd. L",NL,,
2021A00051008011,Carmanville,NL,,
2021A00051008024,Change Islands,NL,,
2021A00051008026,"Division No.  8, Subd. I",NL,,
2021A00051008029,Crow Head,NL,,
2021A00051008031,"Division No.  8, Subd. H",NL,,
2021A00051008032,Cottlesville,NL,,
2021A00051008033,Summerford,NL,,
2021A00051008035,Twillingate,NL,,
2021A00051008036,"Division No.  8, Subd. G",NL,,
2021A00051008037,Campbellton,NL,,
2021A00051008038,Birchy Bay,NL,,
2021A00051008039,Comfort Cove-Newstead,NL,,
2021A00051008040,Baytona,NL,,
2021A00051008042,"Division No.  8, Subd. F",NL,,
2021A00051008043,Embree,NL,,
2021A00051008044,Lewisporte,NL,,
2021A00051008045,Little Burnt Bay,NL,,
2021A00051008046,"Division No.  8, Subd. E",NL,,
2021A00051008047,Point of Bay,NL,,
2021A00051008048,Leading Tickles,NL,,
2021A00051008049,Point Leamington,NL,,
2021A00051008052,"Division No.  8, Subd. D",NL,,
2021A00051008053,Pilley's Island,NL,,
2021A00051008054,Triton,NL,,
2021A00051008055,Brighton,NL,,
2021A00051008056,Lushes Bight-Beaumont-Beaumont North,NL,,
2021A00051008058,"Division No.  8, Subd. C",NL,,
2021A00051008059,South Brook,NL,,
2021A00051008060,Robert's Arm,NL,,
2021A00051008061,Springdale,NL,,
2021A00051008062,Port Anson,NL,,
2021A00051008063,Little Bay,NL,,
2021A00051008064,Little Bay Islands,NL,,
2021A00051008065,"Division No.  8, Subd. P",NL,,
2021A00051008066,Beachside,NL,,
2021A00051008067,"Division No.  8, Subd. O",NL,,
2021A00051008069,King's Point,NL,,
2021A00051008070,Nippers Harbour,NL,,
2021A00051008071,Burlington,NL,,
2021A00051008072,Middle Arm,NL,,
2021A00051008073,Tilt Cove,NL,,
2021A00051008074,"Division No.  8, Subd. A",NL,,
2021A00051008075,Fleur de Lys,NL,,
2021A00051008076,LaScie,NL,,
2021A00051008077,Brent's Cove,NL,,
2021A00051008078,Pacquet,NL,,
2021A00051008079,Baie Verte,NL,,
2021A00051008091,Seal Cove (White Bay),NL,,
2021A00051008092,Coachman's Cove,NL,,
2021A00051008093,Westport,NL,,
2021A00051008095,Ming's Bight,NL,,
2021A00051008096,Woodstock,NL,,
2021A00051008098,Miles Cove,NL,,
2021A00051008099,Fogo Island,NL,,
2021A00051009001,"Division No.  9, Subd. F",NL,,
2021A00051009004,Englee,NL,,
2021A00051009007,Roddickton-Bide Arm,NL,,
2021A00051009008,Conche,NL,,
2021A00051009009,"Division No.  9, Subd. A",NL,,
2021A00051009010,Trout River,NL,,
2021A00051009011,"Woody Point, Bonne Bay",NL,,
2021A00051009012,Norris Point,NL,,
2021A00051009013,Rocky Harbour,NL,,
2021A00051009015,Daniel's Harbour,NL,,
2021A00051009016,Cow Head,NL,,
2021A00051009017,Parson's Pond,NL,,
2021A00051009018,Hawke's Bay,NL,,
2021A00051009019,Port Saunders,NL,,
2021A00051009020,St. Pauls,NL,,
2021A00051009021,"Division No.  9, Subd. C",NL,,
2021A00051009022,Port au Choix,NL,,
2021A00051009023,Anchor Point,NL,,
2021A00051009024,Flower's Cove,NL,,
2021A00051009026,Bird Cove,NL,,
2021A00051009028,Main Brook,NL,,
2021A00051009029,St. Anthony,NL,,
2021A00051009030,Glenburnie-Birchy Head-Shoal Brook,NL,,
2021A00051009031,"Division No.  9, Subd. D",NL,,
2021A00051009032,St. Lunaire-Griquet,NL,,
2021A00051009034,Cook's Harbour,NL,,
2021A00051009035,Raleigh,NL,,
2021A00051009037,Sally's Cove,NL,,
2021A00051009039,Goose Cove East,NL,,
2021A00051009041,"Division No.  9, Subd. H",NL,,
2021A00051009042,Bellburns,NL,,
2021A00051009047,"Division No.  9, Subd. G",NL,,
2021A00051009048,River of Ponds,NL,,
2021A00051010001,"Division No. 10, Subd. A",NL,,
2021A00051010002,L'Anse au Loup,NL,,
2021A00051010003,Red Bay,NL,,
2021A00051010004,L'Anse-au-Clair,NL,,
2021A00051010005,Forteau,NL,,
2021A00051010006,West St. Modeste,NL,,
2021A00051010007,Pinware,NL,,
2021A00051010008,"Division No. 10, Subd. B",NL,,
2021A00051010009,Port Hope Simpson,NL,,
2021A00051010010,St. Lewis,NL,,
2021A00051010011,Mary's Harbour,NL,,
2021A00051010012,"Cartwright, Labrador",NL,,
2021A00051010013,Charlottetown (Labrador),NL,,
2021A00051010020,"Division No. 10, Subd. C",NL,,
2021A00051010022,North West River,NL,,
2021A00051010025,Happy Valley-Goose Bay,NL,,
2021A00051010029,"Division No. 10, Subd. D",NL,,
2021A00051010032,Labrador City,NL,,
2021A00051010034,Wabush,NL,,
2021A00051010042,"Division No. 10, Subd. E",NL,,
2021A00051010801,Natuashish 2,NL,,
2021A00051010802,Sheshatshiu 3,NL,,
2021A00051011005,"Division No. 11, Subd. C",NL,,
2021A00051011010,Rigolet,NL,,
2021A00051011015,Postville,NL,,
2021A00051011020,Makkovik,NL,,
2021A00051011030,Hopedale,NL,,
2021A00051011035,Nain,NL,,
2021A00051011040,"Division No. 11, Subd. E",NL,,
2021A00051101002,Murray Harbour,PE,2020-2024,https://www.princeedwardisland.ca/en/feature/property-charge-rates#/service/PropertyChargeRates/PropertyChargeRatesSearch
2021A00051101003,Murray Harbour,PE,2020-2024,https://www.princeedwardisland.ca/en/feature/property-charge-rates#/service/PropertyChargeRates/PropertyChargeRatesSearch
2021A00051101004,Murray River,PE,2020-2024,https://www.princeedwardisland.ca/en/feature/property-charge-rates#/service/PropertyChargeRates/PropertyChargeRatesSearch
2021A00051101005,"Murray River, Part 1",PE,2020-2024,https://www.princeedwardisland.ca/en/feature/property-charge-rates#/service/PropertyChargeRates/PropertyChargeRatesSearch
2021A00051101020,Cardigan,PE,2020-2024,https://www.princeedwardisland.ca/en/feature/property-charge-rates#/service/PropertyChargeRates/PropertyChargeRatesSearch
2021A00051101025,Central Kings,PE,2020-2024,https://www.princeedwardisland.ca/en/feature/property-charge-rates#/service/PropertyChargeRates/PropertyChargeRatesSearch
2021A00051101027,Central Kings,PE,2020-2024,https://www.princeedwardisland.ca/en/feature/property-charge-rates#/service/PropertyChargeRates/PropertyChargeRatesSearch
2021A00051101030,Annandale - Little Pond - Howe Bay,PE,2020-2024,https://www.princeedwardisland.ca/en/feature/property-charge-rates#/service/PropertyChargeRates/PropertyChargeRatesSearch
2021A00051101033,Souris West,PE,2020-2024,https://www.princeedwardisland.ca/en/feature/property-charge-rates#/service/PropertyChargeRates/PropertyChargeRatesSearch
2021A00051101035,Souris,PE,2020-2024,https://www.princeedwardisland.ca/en/feature/property-charge-rates#/service/PropertyChargeRates/PropertyChargeRatesSearch
2021A00051101036,Souris,PE,2020-2024,https://www.princeedwardisland.ca/en/feature/property-charge-rates#/service/PropertyChargeRates/PropertyChargeRatesSearch
2021A00051101037,St. Peters,PE,2020-2024,https://www.princeedwardisland.ca/en/feature/property-charge-rates#/service/PropertyChargeRates/PropertyChargeRatesSearch
2021A00051101040,Eastern Kings,PE,2020-2024,https://www.princeedwardisland.ca/en/feature/property-charge-rates#/service/PropertyChargeRates/PropertyChargeRatesSearch
2021A00051101043,Morell,PE,2020-2024,https://www.princeedwardisland.ca/en/feature/property-charge-rates#/service/PropertyChargeRates/PropertyChargeRatesSearch
2021A00051101044,St. Peters Bay,PE,2020-2024,https://www.princeedwardisland.ca/en/feature/property-charge-rates#/service/PropertyChargeRates/PropertyChargeRatesSearch
2021A00051101045,Three Rivers,PE,,
2021A00051101048,Morell,PE,2020-2024,https://www.princeedwardisland.ca/en/feature/property-charge-rates#/service/PropertyChargeRates/PropertyChargeRatesSearch
2021A00051101050,Morell 2,PE,2020-2024,https://www.princeedwardisland.ca/en/feature/property-charge-rates#/service/PropertyChargeRates/PropertyChargeRatesSearch
2021A00051101052,"East River, Part 2",PE,2020-2024,https://www.princeedwardisland.ca/en/feature/property-charge-rates#/service/PropertyChargeRates/PropertyChargeRatesSearch
2021A00051102002,Belfast,PE,2020-2024,https://www.princeedwardisland.ca/en/feature/property-charge-rates#/service/PropertyChargeRates/PropertyChargeRatesSearch
2021A00051102003,"Murray River, Part 2",PE,2020-2024,https://www.princeedwardisland.ca/en/feature/property-charge-rates#/service/PropertyChargeRates/PropertyChargeRatesSearch
2021A00051102005,Montague,PE,2020-2024,https://www.princeedwardisland.ca/en/feature/property-charge-rates#/service/PropertyChargeRates/PropertyChargeRatesSearch
2021A00051102010,Crossroads,PE,2020-2024,https://www.princeedwardisland.ca/en/feature/property-charge-rates#/service/PropertyChargeRates/PropertyChargeRatesSearch
2021A00051102011,Hazelbrook,PE,2020-2024,https://www.princeedwardisland.ca/en/feature/property-charge-rates#/service/PropertyChargeRates/PropertyChargeRatesSearch
2021A00051102013,Alexandra,PE,2020-2024,https://www.princeedwardisland.ca/en/feature/property-charge-rates#/service/PropertyChargeRates/PropertyChargeRatesSearch
2021A00051102015,Johnstons River,PE,2020-2024,https://www.princeedwardisland.ca/en/feature/property-charge-rates#/service/PropertyChargeRates/PropertyChargeRatesSearch
2021A00051102016,Vernon River,PE,2020-2024,https://www.princeedwardisland.ca/en/feature/property-charge-rates#/service/PropertyChargeRates/PropertyChargeRatesSearch
2021A00051102017,New Glasgow,PE,2020-2024,https://www.princeedwardisland.ca/en/feature/property-charge-rates#/service/PropertyChargeRates/PropertyChargeRatesSearch
2021A00051102018,"Crapaud, Part 1",PE,2020-2024,https://www.princeedwardisland.ca/en/feature/property-charge-rates#/service/PropertyChargeRates/PropertyChargeRatesSearch
2021A00051102019,North Rustico,PE,2020-2024,https://www.princeedwardisland.ca/en/feature/property-charge-rates#/service/PropertyChargeRates/PropertyChargeRatesSearch
2021A00051102020,North Wiltshire,PE,2020-2024,https://www.princeedwardisland.ca/en/feature/property-charge-rates#/service/PropertyChargeRates/PropertyChargeRatesSearch
2021A00051102021,Hampshire,PE,2020-2024,https://www.princeedwardisland.ca/en/feature/property-charge-rates#/service/PropertyChargeRates/PropertyChargeRatesSearch
2021A00051102022,Kingston,PE,2020-2024,https://www.princeedwardisland.ca/en/feature/property-charge-rates#/service/PropertyChargeRates/PropertyChargeRatesSearch
2021A00051102030,Rocky Point 3,PE,IRI (Indian Reservation),
2021A00051102032,Victoria,PE,2020-2024,https://www.princeedwardisland.ca/en/feature/property-charge-rates#/service/PropertyChargeRates/PropertyChargeRatesSearch
2021A00051102034,Crapaud,PE,2020-2024,https://www.princeedwardisland.ca/en/feature/property-charge-rates#/service/PropertyChargeRates/PropertyChargeRatesSearch
2021A00051102035,Darlington,PE,,
2021A00051102037,Clyde River,PE,2020-2024,https://www.princeedwardisland.ca/en/feature/property-charge-rates#/service/PropertyChargeRates/PropertyChargeRatesSearch
2021A00051102040,Miltonvale Park,PE,2020-2024,https://www.princeedwardisland.ca/en/feature/property-charge-rates#/service/PropertyChargeRates/PropertyChargeRatesSearch
2021A00051102043,Hunter River,PE,2020-2024,https://www.princeedwardisland.ca/en/feature/property-charge-rates#/service/PropertyChargeRates/PropertyChargeRatesSearch
2021A00051102045,"Stanley Bridge, Hope River, Bayview, Cavendish and North Rustico",PE,2020-2024,https://www.princeedwardisland.ca/en/feature/property-charge-rates#/service/PropertyChargeRates/PropertyChargeRatesSearch
2021A00051102046,North Rustico,PE,2020-2024,https://www.princeedwardisland.ca/en/feature/property-charge-rates#/service/PropertyChargeRates/PropertyChargeRatesSearch
2021A00051102050,Union Road,PE,2020-2024,https://www.princeedwardisland.ca/en/feature/property-charge-rates#/service/PropertyChargeRates/PropertyChargeRatesSearch
2021A00051102051,Breadalbane,PE,2020-2024,https://www.princeedwardisland.ca/en/feature/property-charge-rates#/service/PropertyChargeRates/PropertyChargeRatesSearch
2021A00051102055,Brackley,PE,2020-2024,https://www.princeedwardisland.ca/en/feature/property-charge-rates#/service/PropertyChargeRates/PropertyChargeRatesSearch
2021A00051102057,Scotchfort 4,PE,IRI (Indian Reservation),
2021A00051102059,Mount Stewart,PE,2020-2024,https://www.princeedwardisland.ca/en/feature/property-charge-rates#/service/PropertyChargeRates/PropertyChargeRatesSearch
2021A00051102061,York,PE,2020-2024,https://www.princeedwardisland.ca/en/feature/property-charge-rates#/service/PropertyChargeRates/PropertyChargeRatesSearch
2021A00051102064,"East River, Part 1",PE,2020-2024,https://www.princeedwardisland.ca/en/feature/property-charge-rates#/service/PropertyChargeRates/PropertyChargeRatesSearch
2021A00051102066,"Kensington, Part 2",PE,2020-2024,https://www.princeedwardisland.ca/en/feature/property-charge-rates#/service/PropertyChargeRates/PropertyChargeRatesSearch
2021A00051102067,North Shore,PE,2020-2024,https://www.princeedwardisland.ca/en/feature/property-charge-rates#/service/PropertyChargeRates/PropertyChargeRatesSearch
2021A00051102068,West River,PE,2020-2024,https://www.princeedwardisland.ca/en/feature/property-charge-rates#/service/PropertyChargeRates/PropertyChargeRatesSearch
2021A00051102069,Winsloe North,PE,2020-2024,https://www.princeedwardisland.ca/en/feature/property-charge-rates#/service/PropertyChargeRates/PropertyChargeRatesSearch
2021A00051102070,Warren Grove,PE,2020-2024,https://www.princeedwardisland.ca/en/feature/property-charge-rates#/service/PropertyChargeRates/PropertyChargeRatesSearch
2021A00051102071,New London,PE,2020-2024,https://www.princeedwardisland.ca/en/feature/property-charge-rates#/service/PropertyChargeRates/PropertyChargeRatesSearch
2021A00051102072,North River,PE,2020-2024,https://www.princeedwardisland.ca/en/feature/property-charge-rates#/service/PropertyChargeRates/PropertyChargeRatesSearch
2021A00051102073,North Shore,PE,2020-2024,https://www.princeedwardisland.ca/en/feature/property-charge-rates#/service/PropertyChargeRates/PropertyChargeRatesSearch
2021A00051102075,Charlottetown,PE,2020-2024,https://www.princeedwardisland.ca/en/feature/property-charge-rates#/service/PropertyChargeRates/PropertyChargeRatesSearch
2021A00051102080,Stratford,PE,2020-2024,https://www.princeedwardisland.ca/en/feature/property-charge-rates#/service/PropertyChargeRates/PropertyChargeRatesSearch
2021A00051102085,Cornwall,PE,2020-2024,https://www.princeedwardisland.ca/en/feature/property-charge-rates#/service/PropertyChargeRates/PropertyChargeRatesSearch
2021A00051103002,Borden,PE,2020-2024,https://www.princeedwardisland.ca/en/feature/property-charge-rates#/service/PropertyChargeRates/PropertyChargeRatesSearch
2021A00051103003,Kinkora,PE,2020-2024,https://www.princeedwardisland.ca/en/feature/property-charge-rates#/service/PropertyChargeRates/PropertyChargeRatesSearch
2021A00051103004,"Crapaud, Part 2",PE,2020-2024,https://www.princeedwardisland.ca/en/feature/property-charge-rates#/service/PropertyChargeRates/PropertyChargeRatesSearch
2021A00051103005,Borden-Carleton,PE,2020-2024,https://www.princeedwardisland.ca/en/feature/property-charge-rates#/service/PropertyChargeRates/PropertyChargeRatesSearch
2021A00051103007,Malpeque Bay,PE,2020-2024,https://www.princeedwardisland.ca/en/feature/property-charge-rates#/service/PropertyChargeRates/PropertyChargeRatesSearch
2021A00051103008,Kinkora,PE,2020-2024,https://www.princeedwardisland.ca/en/feature/property-charge-rates#/service/PropertyChargeRates/PropertyChargeRatesSearch
2021A00051103014,Kensington,PE,2020-2024,https://www.princeedwardisland.ca/en/feature/property-charge-rates#/service/PropertyChargeRates/PropertyChargeRatesSearch
2021A00051103015,Bedeque and Area,PE,2020-2024,https://www.princeedwardisland.ca/en/feature/property-charge-rates#/service/PropertyChargeRates/PropertyChargeRatesSearch
2021A00051103018,Sherbrooke,PE,2020-2024,https://www.princeedwardisland.ca/en/feature/property-charge-rates#/service/PropertyChargeRates/PropertyChargeRatesSearch
2021A00051103020,Wellington,PE,2020-2024,https://www.princeedwardisland.ca/en/feature/property-charge-rates#/service/PropertyChargeRates/PropertyChargeRatesSearch
2021A00051103021,Tyne Valley,PE,2020-2024,https://www.princeedwardisland.ca/en/feature/property-charge-rates#/service/PropertyChargeRates/PropertyChargeRatesSearch
2021A00051103022,St. Nicholas,PE,2020-2024,https://www.princeedwardisland.ca/en/feature/property-charge-rates#/service/PropertyChargeRates/PropertyChargeRatesSearch
2021A00051103023,Linkletter,PE,2020-2024,https://www.princeedwardisland.ca/en/feature/property-charge-rates#/service/PropertyChargeRates/PropertyChargeRatesSearch
2021A00051103024,Miscouche,PE,2020-2024,https://www.princeedwardisland.ca/en/feature/property-charge-rates#/service/PropertyChargeRates/PropertyChargeRatesSearch
